Customer ID,Customer First,Customer Last,TicketID,Ticket Created,Workorder Created,Employee ID,Employee First,Employee Last,Clocked In,Certification
C725421930-2,Leeland,Giblin,T504721720-25,10/21/2020 19:00,12/08/2023 21:43:39,E767582271-4,Horatius,Scobie,10/22/2020 0:44,Microsoft_Certified
C818586166-8,Diann,Ghidetti,T461933543-26,10/21/2020 19:04,12/08/2023 21:43:39,E932383184-0,Magdalen,Habble,10/22/2020 1:14,CompTIA_Server+
C327846539-3,Inessa,Klimowicz,T536131531-21,10/21/2020 19:05,12/08/2023 21:43:39,E259950699-9,Lindy,Rops,10/22/2020 2:30,Microsoft_Certified
C073325537-X,Ewen,Dyett,T852349691-22,10/21/2020 19:06,12/08/2023 21:43:39,E316442525-2,Chucho,Seres,10/22/2020 2:59,CompTIA_Server+
C757381678-2,Vicki,Tapping,T343945179-28,10/21/2020 19:06,12/08/2023 21:43:39,E564877819-8,Horatio,Roll,10/22/2020 3:38,Microsoft_Certified
C470254243-5,Yevette,Shewery,T786346739-2X,10/21/2020 19:09,12/08/2023 21:43:39,E768080015-4,Katy,Plumridge,10/22/2020 4:19,CompTIA_Server+
C209292562-8,Tasha,Wrightson,T220985344-23,10/21/2020 19:09,12/08/2023 21:43:39,E311106623-1,Virgie,Parkhouse,10/22/2020 5:16,Microsoft_Certified
C745795118-0,Pepito,Dulen,T457418415-29,10/21/2020 19:10,12/08/2023 21:43:39,E161606676-8,Ted,Matteotti,10/22/2020 6:45,CompTIA_Server+
C539078325-5,Silvie,Elliott,T092556784-21,10/21/2020 19:15,12/08/2023 21:43:39,E769348203-2,Anthony,Maven,10/22/2020 7:36,Microsoft_Certified
C828114000-3,Andrej,Reimers,T931096293-23,10/21/2020 19:18,12/08/2023 21:43:39,E948802623-5,Lilia,Bowen,10/22/2020 8:12,CompTIA_Server+
C125927207-9,Neale,Stubbert,T318144333-26,10/21/2020 19:19,12/08/2023 21:43:39,E978092756-5,Tove,Dodds,10/22/2020 8:50,Microsoft_Certified
C111742029-9,Jacky,Herreros,T277527624-25,10/21/2020 19:19,12/08/2023 21:43:39,E540690812-X,Diena,Kuzemka,10/22/2020 9:30,CompTIA_Server+
C417536591-5,Marion,Fridd,T794393452-20,10/21/2020 19:22,12/08/2023 21:43:39,E957693141-X,Philis,Whinray,10/22/2020 10:03,Microsoft_Certified
C321181294-6,Trula,Headingham,T367212911-29,10/21/2020 19:24,12/08/2023 21:43:39,E660836158-0,Hammad,Snead,10/22/2020 10:53,CompTIA_Server+
C181219043-3,Coraline,Mountcastle,T693672557-20,10/21/2020 19:25,12/08/2023 21:43:39,E478507098-6,Shep,Coatsworth,10/22/2020 11:45,Microsoft_Certified
C456966372-9,Nickolai,Atwood,T540420301-23,10/21/2020 19:26,12/08/2023 21:43:39,E955623057-2,Steffane,St Quenin,10/22/2020 13:12,CompTIA_Server+
C846491345-1,Zena,Braisby,T043744286-21,10/21/2020 19:28,12/08/2023 21:43:39,E735007084-5,Keslie,Comsty,10/22/2020 13:40,Microsoft_Certified
C508147426-6,Dody,Carrodus,T266373382-22,10/21/2020 19:32,12/08/2023 21:43:39,E247421236-1,Raymund,Dufour,10/22/2020 13:59,CompTIA_Server+
C892535454-3,Jeniffer,Iannuzzi,T231015640-2X,10/21/2020 19:33,12/08/2023 21:43:39,E532143762-9,Maxie,Brentnall,10/22/2020 15:03,Microsoft_Certified
C953120088-2,Thomas,Roxbee,T814800128-26,10/21/2020 19:34,12/08/2023 21:43:39,E491766151-X,Jacqui,Minghella,10/22/2020 15:46,CompTIA_Server+
C954330173-5,Carilyn,Urch,T011796367-24,10/21/2020 19:37,12/08/2023 21:43:39,E199205436-3,Carmelita,Wyse,10/22/2020 17:53,Microsoft_Certified
C378131613-0,Pryce,Cardew,T978748150-23,10/21/2020 19:41,12/08/2023 21:43:39,E066662186-1,Florella,Eggerton,10/22/2020 18:18,CompTIA_Server+
C564967009-9,Isadore,Linnett,T660300061-2X,10/21/2020 19:42,12/08/2023 21:43:39,E891626253-4,Leena,Worman,10/22/2020 19:53,Microsoft_Certified
C766295550-8,Anjanette,Sacher,T897430199-27,10/21/2020 19:43,12/08/2023 21:43:39,E798518349-3,Durand,McKibbin,10/22/2020 22:12,CompTIA_Server+
C472704667-9,Torr,Counsell,T689202161-21,10/21/2020 19:45,12/08/2023 21:43:39,E219851480-X,Barbabas,Bathow,10/22/2020 23:22,Microsoft_Certified
C728040073-6,Rinaldo,Tatem,T255938665-28,10/21/2020 19:46,12/08/2023 21:43:39,E767582271-4,Horatius,Scobie,10/22/2020 0:44,Microsoft_Certified
